Representations,Classifiers,Additional Tweaks,Team Member,Tested (Yes/No),Accuracy,AUC SCORE,Notes,Recreate/Modify Table
Bag-of-Words,Support Vector Machines (SVM),Scaling,Felicie,Yes,0.903942254,,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",
Bag-of-Words,Support Vector Machines (SVM),No Scaling,Félicie,Yes,0.903942254,,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",
Bag-of-Words (bigrams),Support Vector Machines (SVM),Scaling,Felicie,Yes,0.910327596,,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",
Bag-of-Words (bigrams),Support Vector Machines (SVM),No Scaling,Felicie,Yes,0.910327596,,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",
Bag-of-Words - Frequencies,Support Vector Machines (SVM),Scaling,Felicie,Yes,0.903387007,,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",
Bag-of-Words - Frequencies,Support Vector Machines (SVM),No Scaling,Felicie,Yes,0.901721266,,,
Term Frequency–Inverse Document Frequency (TF-IDF),Support Vector Machines (SVM),Scaling,Felicie,Yes,0.909217102,,,
Term Frequency–Inverse Document Frequency (TF-IDF),Support Vector Machines (SVM),No Scaling,Felicie,No,-,,,
Bag-of-Words,Random Forests (RF),Scaling,Anil,-,0.902957181,,Input unchanged by scaling,
Bag-of-Words,Random Forests (RF),No Scaling,Anil,Yes,0.902957181,,,
Bag-of-Words (bigrams),Random Forests (RF),No Scaling,Anil,Yes,0.905733706,,,
Bag-of-Words (bigrams),Random Forests (RF),Scaling,Anil,-,0.901985297,,"param_grid = { 
'bootstrap': True, 
'max_depth': None, 
'max_features': 'log2', 
'min_samples_leaf': 1, 
'min_samples_split': 10, 
'n_estimators': 300 
}",
Bag-of-Words - Frequencies,Random Forests (RF),Scaling,Anil,Yes,0.901985297,,,
Bag-of-Words - Frequencies,Random Forests (RF),No Scaling,Anil,Yes,0.902748944,,,
Term Frequency–Inverse Document Frequency (TF-IDF),Random Forests (RF),Scaling,Anil,Yes,0.89865312,,,
Term Frequency–Inverse Document Frequency (TF-IDF),Random Forests (RF),No Scaling,Anil,,0.898445052,,,
Bag-of-Words,Naive Bayes (NB),Scaling,Mathieu,,,,,
Bag-of-Words,Naive Bayes (NB),No Scaling,Mathieu,,,,,
Bag-of-Words (bigrams),Naive Bayes (NB),Scaling,Mathieu,,,,,
Bag-of-Words (bigrams),Naive Bayes (NB),No Scaling,Mathieu,,,,,
Bag-of-Words - Frequencies,Naive Bayes (NB),Scaling,Mathieu,,,,,
Bag-of-Words - Frequencies,Naive Bayes (NB),No Scaling,Mathieu,,,,,
Term Frequency–Inverse Document Frequency (TF-IDF),Naive Bayes (NB),Scaling,Mathieu,,,,,
Term Frequency–Inverse Document Frequency (TF-IDF),Naive Bayes (NB),No Scaling,Mathieu,,,,,
Bag-of-Words,Logistic Regression (Elastic Net),Scaling,Eleftheria,Yes,0.9098,0.9687,"Parameters = {C = 1, max_iter = 1000, multi_class = ""ovr""}",
Bag-of-Words,Logistic Regression (Elastic Net),No Scaling,Eleftheria,Yes,0.9098,0.9687,"Parameters = {C = 1, max_iter = 1000, multi_class = ""ovr""}",
Bag-of-Words (bigrams),Logistic Regression (Elastic Net),Scaling,Eleftheria,Yes,0.9203,0.9723,"Parameters = {C = 1, max_iter = 1000, multi_class = ""ovr"", solver = ""saga""}",
Bag-of-Words (bigrams),Logistic Regression (Elastic Net),No Scaling,Eleftheria,Yes,0.9203,0.9723,"Parameters = {C = 1, max_iter = 1000, multi_class = ""ovr"", solver = ""saga""}",
Bag-of-Words - Frequencies,Logistic Regression (Elastic Net),Scaling,Eleftheria,Yes,0.9117,0.9702,"Parameters = {C = 1, max_iter = 1000, multi_class = ""ovr"", solver = ""liblinear""}",
Bag-of-Words - Frequencies,Logistic Regression (Elastic Net),No Scaling,Eleftheria,Yes,0.91,0.969,"Parameters = {C = 1, max_iter = 1000, multi_class = ""ovr"", solver = ""liblinear""}",
