,username,user_handle,date,retweets,favorites,text,label
0,WWF Climate & Energy,climateWWF,2020-04-28,11,22,econom recoveri nation climat pledg must design hand hand year combat twin global crise face say manupulgarvid petersbergclimatedialogu photo credit bmu christoph,0
1,WWF Climate & Energy,climateWWF,2020-04-22,6,16,difficult time hard connect natur world earthday appreci natur afar highlight amaz way work help climat,0
2,WWF Climate & Energy,climateWWF,2020-04-01,43,69,decis postpon cop unavoid collect prioriti must put health live first climat action must remain non negoti global prioriti say manupulgarvid wwfmedia wwf vperezcirera,0
3,WWF Climate & Energy,climateWWF,2020-03-30,24,30,japan world fifth largest emitt greenhous gase opportun step climateact instead submit unchang climat plan ndc un must rethink submiss say wwf manupulgarvid,0
4,WWF Climate & Energy,climateWWF,2020-03-30,22,40,countri includ naturebasedsolut climat plan ndc new guidanc offer simpl recommend,0
5,WWF Climate & Energy,climateWWF,2020-02-24,17,25,infrastructur well need built yet har power natur make sustain climat resili new report worldwildlif explain,0
6,WWF Climate & Energy,climateWWF,2020-02-07,7,15,member japan climat initi call japanes govern act urgent ramp climateambit enhanc nation climat plan ndc wwfjapan wwf manupulgarvid,0
7,WWF Climate & Energy,climateWWF,2020-02-04,16,29,need see increas natur base solut climat nation climat plan ndc halt deforest warrant much attent govern climateact cop manupulgarvid vperezcirera natured wwf,0
8,WWF Climate & Energy,climateWWF,2020-02-04,5,16,need enhanc nation climat plan ndc countri especi like japan high emiss take everyon everyth tackl climatecrisi face wwfmedia manupulgarvid vperezcirera wwfjapan climateambit,0
9,WWF Climate & Energy,climateWWF,2020-01-23,13,46,congratul appoint high level climat action champion topnigel climatewwf look forward work gmunozabogabir climateambit climateact success cop coppresid unfccc pespinosac manupulgarvid,0
10,WWF Climate & Energy,climateWWF,2020-01-15,15,17,climatecrisi top risk face world accord wef report notabl climat action failur cop ndc climateambit manupulgarvid,0
11,WWF Climate & Energy,climateWWF,2019-12-11,264,2365,say timeforact un climat talk made littl progress cop midst climateemerg yet see urgent action natur peopl rt remind leader want climateact timeforact need,0
12,WWF Climate & Energy,climateWWF,2019-12-11,5,18,cop corpor climat movement grow exponenti new compani announc plan set align sciencetarget movement ouronlyfutur includ compani countri,0
13,WWF Climate & Energy,climateWWF,2019-12-11,56,133,natur critic alli fight climatecrisi time put centr effort say manuel pulgar vidal climat energi practic leader wwf rebecca shaw chief scientist senior vp wwf us,0
14,WWF Climate & Energy,climateWWF,2019-12-11,10,17,new report climat natur futur clearli point toward natur part solut climatecrisi timeforact cop,0
15,WWF Climate & Energy,climateWWF,2019-12-10,60,137,wwfleadforest tackl climatecrisi essenti revers catastroph declin natur revers declin natur essenti tackl climat crisi forest need theof climateact,0
16,WWF Climate & Energy,climateWWF,2019-12-06,9,27,gretathunberg arriv copmadrid timeforact address climatecrisi join let ralli climat togeth cop,0
17,WWF Climate & Energy,climateWWF,2019-12-06,10,23,show solidar greater climateact moment creat sustain futur natur peopl need ambiti action tackl climat crisi climatewwf,0
18,WWF Climate & Energy,climateWWF,2019-12-05,9,14,crucial countri take greater climateact limit warm avoid climat catastroph ask world leader make right decis today timeforact tackl climatecrisi cop,0
19,WWF Climate & Energy,climateWWF,2020-04-27,4,14,solar panel produc clean power cheaper ever energyeffici could save money emiss arent govern har power climat solut,0
20,WWF Climate & Energy,climateWWF,2020-04-25,3,9,fridaysfutur hour livestream enter final hour join wwfuk youth ambassador hatti phillip gredmond climat climateact climatestrikeonlin,0
21,WWF Climate & Energy,climateWWF,2020-04-16,3,4,wildlif collaps climat chang predict hit suddenli sooner,0
22,WWF Climate & Energy,climateWWF,2020-04-01,1,4,uk like postpon cop climat talk glasgow,0
23,WWF Climate & Energy,climateWWF,2019-12-13,0,4,almost time singapor youth climat action transform climat scienc climat action start minut cop pandahub watch livestream,0
24,WWF Climate & Energy,climateWWF,2019-12-12,0,7,last event cop pandahub today celebr natur base climat solut join us person via live stream minut,0
25,WWF Climate & Energy,climateWWF,2019-12-12,1,2,join us cop pandahub minut amazonia viva indigen peopl climat chang not madrid watch live stream,0
26,WWF Climate & Energy,climateWWF,2019-12-12,1,9,come next cop pandahub mobilis polici action youth climat leader world discuss climat mobilis way forward join us via live stream minut,0
