id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1260611483194408961,1260611483194408961,1589388173000,2020-05-13,18:42:53,W. Europe Daylight Time,1149785036549287936,bots_wanna,Jon,,"This is going to be good.

Now time for a whole lotta hashtags:

@GretaThunberg #ClimateStrikeOnline #ClimateChange #COVID19 #ClimateAction #ClimateCrisis #deforestation #plasticfree #sustainability #environment #EarthDay #rainforest #ocean #cleanenergy #nuclear #oilandgas https://twitter.com/CNN/status/1260555428100026368 …",['gretathunberg'],['https://twitter.com/CNN/status/1260555428100026368'],[],0,1,0,"['#climatestrikeonline', '#climatechange', '#covid19', '#climateaction', '#climatecrisis', '#deforestation', '#plasticfree', '#sustainability', '#environment', '#earthday', '#rainforest', '#ocean', '#cleanenergy', '#nuclear', '#oilandgas']",[],https://twitter.com/Bots_Wanna/status/1260611483194408961,False,https://twitter.com/CNN/status/1260555428100026368,0,,,,,,,"[{'user_id': '1149785036549287936', 'username': 'Bots_Wanna'}, {'user_id': '1006419421244678144', 'username': 'GretaThunberg'}]",,,,
1260611241564758016,1260611241564758016,1589388115000,2020-05-13,18:41:55,W. Europe Daylight Time,1251203119234473984,a_globalwarning,Global Warning!,,"Join hands with us on our social media platforms mentioned below.

🌱Instagram:  http://www.instagram.com/global_warning_2020/?hl=en …
🌱LinkedIn:  http://www.linkedin.com/company/global-warning/?viewAsMember=true …
🌱Wordpress Blog:  http://globalwarning2020.wordpress.com 
🌱Facebook:  http://www.facebook.com/globalwarning36/ …
#ClimateChange #ClimateAction #GlobalWarming pic.twitter.com/cxrRuuA7zd",[],"['http://www.instagram.com/global_warning_2020/?hl=en', 'http://www.linkedin.com/company/global-warning/?viewAsMember=true', 'http://globalwarning2020.wordpress.com', 'http://www.facebook.com/globalwarning36/']",['https://pbs.twimg.com/media/EX6WHjTUYAA0IKW.jpg'],0,0,0,"['#climatechange', '#climateaction', '#globalwarming']",[],https://twitter.com/a_globalwarning/status/1260611241564758016,False,,0,,,,,,,"[{'user_id': '1251203119234473984', 'username': 'a_globalwarning'}]",,,,
1260610970625486849,1260610970625486849,1589388051000,2020-05-13,18:40:51,W. Europe Daylight Time,226310002,iam__network,IAM Platform,,"Early humans in China innovated technology to adapt to climate change one million years ago 

READ MORE:  https://blog.iammarketingmedia.com/early-humans-in-china-innovated-technology-to-adapt-to-climate-change-one-million-years-ago/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#Adaptation #Antarctica #Arctic #CarbonDioxide #ClimateAction #ClimateChange #ClimateScience #climatology #Companies #Environment pic.twitter.com/M5KNtdtIVj",[],['https://blog.iammarketingmedia.com/early-humans-in-china-innovated-technology-to-adapt-to-climate-change-one-million-years-ago/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter'],['https://pbs.twimg.com/media/EX6W_0RXYAEUFK0.jpg'],0,1,0,"['#adaptation', '#antarctica', '#arctic', '#carbondioxide', '#climateaction', '#climatechange', '#climatescience', '#climatology', '#companies', '#environment']",[],https://twitter.com/IAM__Network/status/1260610970625486849,False,,0,,,,,,,"[{'user_id': '226310002', 'username': 'IAM__Network'}]",,,,
1260610727523438597,1260610727523438597,1589387993000,2020-05-13,18:39:53,W. Europe Daylight Time,841360722932121601,coastprotectors,Coast Protectors,,"It's happening:

""World’s biggest wealth fund blacklists Canadian Natural Resources, Cenovus, Suncor and Imperial Oil for carbon emissions""

 https://www.theglobeandmail.com/business/industry-news/energy-and-resources/article-worlds-biggest-wealth-fund-blacklists-canadian-natural-resources/ …
#ClimateEmergency #Divest #JustTransitionNow #ClimateAction #cdnpoli #bcpoli #abpoli",[],['https://www.theglobeandmail.com/business/industry-news/energy-and-resources/article-worlds-biggest-wealth-fund-blacklists-canadian-natural-resources/'],[],1,8,15,"['#climateemergency', '#divest', '#justtransitionnow', '#climateaction', '#cdnpoli', '#bcpoli', '#abpoli']",[],https://twitter.com/CoastProtectors/status/1260610727523438597,False,,0,,,,,,,"[{'user_id': '841360722932121601', 'username': 'CoastProtectors'}]",,,,
1260610507901489156,1260610507901489156,1589387940000,2020-05-13,18:39:00,W. Europe Daylight Time,1023635874641141760,futureecologies,Future Ecologies Podcast,,"Today is the day – Scales of Change is here!

#ClimateCrisis #ClimateAction #podcast https://player.captivate.fm/episode/832a824f-0d8c-4251-8e94-70da64348df2/ …",[],['https://player.captivate.fm/episode/832a824f-0d8c-4251-8e94-70da64348df2/'],[],0,1,0,"['#climatecrisis', '#climateaction', '#podcast']",[],https://twitter.com/futureecologies/status/1260610507901489156,False,,0,,,,,,,"[{'user_id': '1023635874641141760', 'username': 'futureecologies'}]",,,,
1260609543983312897,1260609543983312897,1589387710000,2020-05-13,18:35:10,W. Europe Daylight Time,115099953,globalgoalsun,Global Goals,,"#WorldEconomyReport: #COVID19 is shrinking the global economy & pushing more people into poverty. Recovery means:
 
✅ Building resilience to withstand economic shocks
✅ Improving social protection systems
✅ Greening economies & taking #ClimateAction
 http://bit.ly/wespmidyear  pic.twitter.com/9YEiXfCyrF",[],['http://bit.ly/wespmidyear'],['https://pbs.twimg.com/media/EX6VsubWoA4Ztgc.jpg'],1,2,6,"['#worldeconomyreport', '#covid19', '#climateaction']",[],https://twitter.com/GlobalGoalsUN/status/1260609543983312897,False,,0,,,,,,,"[{'user_id': '115099953', 'username': 'GlobalGoalsUN'}]",,,,
1260609504716173313,1260609504716173313,1589387701000,2020-05-13,18:35:01,W. Europe Daylight Time,97258045,lightboxre,LightBox,,#STL recently became the first #Midwest city to pass a #BuildingEnergy Performance Standard to advance the city's goal of eliminating community-wide #greenhouse gas emissions by 2050. 👏#HealthyBuilding #ClimateAction via @chris_teale https://bit.ly/2TglUlh ,['chris_teale'],['https://bit.ly/2TglUlh'],[],0,0,0,"['#stl', '#midwest', '#buildingenergy', '#greenhouse', '#healthybuilding', '#climateaction']",[],https://twitter.com/LightBoxRE/status/1260609504716173313,False,,0,,,,,,,"[{'user_id': '97258045', 'username': 'LightBoxRE'}, {'user_id': '358708656', 'username': 'chris_teale'}]",,,,
1260609298390028289,1260588233877905408,1589387652000,2020-05-13,18:34:12,W. Europe Daylight Time,16619647,soundadvice,Marshall Law,,"Um, nominated for a Nobel Prize (not that other ""Noble"" prize) , Swedish Woman of the Year, youngest Time Person of the Year ever, Forbes 100 Most Powerful Women. Were you hoping for Ivanka or Jared? #trumpplague #ClimateAction
@GretaThunberg","['yashar', 'gretathunberg']",[],[],0,0,0,"['#trumpplague', '#climateaction']",[],https://twitter.com/soundadvice/status/1260609298390028289,False,,0,,,,,,,"[{'user_id': '16619647', 'username': 'soundadvice'}, {'user_id': '11744152', 'username': 'yashar'}, {'user_id': '1006419421244678144', 'username': 'GretaThunberg'}]",,,,
1260609265041014784,1260609265041014784,1589387644000,2020-05-13,18:34:04,W. Europe Daylight Time,890359273817083909,sunriseboston,Sunrise Boston,,"Phonebank for Sen. @EdMarkey’s campaign! Join Sunrise Boston’s first phonebank event of the 2020 election cycle! No experience necessary. TMRW 5/14 6PM to 8PM. #localgov #GND #ClimateAction 

RSVP link =  http://bit.ly/SunBosMarkeyPh … pic.twitter.com/j78ldSSCip",['edmarkey'],['http://bit.ly/SunBosMarkeyPh'],['https://pbs.twimg.com/media/EX6VcUsX0AAlmCj.jpg'],0,0,2,"['#localgov', '#gnd', '#climateaction']",[],https://twitter.com/SunriseBoston/status/1260609265041014784,False,,0,,,,,,,"[{'user_id': '890359273817083909', 'username': 'SunriseBoston'}, {'user_id': '1129029661', 'username': 'EdMarkey'}]",,,,
1260608666602004480,1260588233877905408,1589387501000,2020-05-13,18:31:41,W. Europe Daylight Time,16619647,soundadvice,Marshall Law,,"17, and also nominated for a Nobel Prize (not that other ""Noble"" prize) , Swedish Woman of the Year, youngest Time Person of the Year ever, Forbes 100 Most Powerful Women, but lets not let facts get in the way. #trumpplague #ClimateAction @GretaThunberg","['patriotssb', 'cameron_kasky', 'yashar', 'gretathunberg']",[],[],1,0,1,"['#trumpplague', '#climateaction']",[],https://twitter.com/soundadvice/status/1260608666602004480,False,,0,,,,,,,"[{'user_id': '16619647', 'username': 'soundadvice'}, {'user_id': '885704995483635712', 'username': 'PatriotsSB'}, {'user_id': '964032914626359296', 'username': 'cameron_kasky'}, {'user_id': '11744152', 'username': 'yashar'}, {'user_id': '1006419421244678144', 'username': 'GretaThunberg'}]",,,,
