,username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
0,WWF Climate & Energy,climateWWF,2020-04-28 19:18,11,22,"Economic recovery and national climate pledges must be designed hand in hand this year if we are to combat the twin global crises we face, says @ manupulgarvidal # PetersbergClimateDialogue Photo credit; BMU/Christoph Wehrerpic.twitter.com/8j85FD6HhW",,@,#,1255169610149777409,https://twitter.com/climateWWF/status/1255169610149777409
1,WWF Climate & Energy,climateWWF,2020-04-22 13:06,6,16,"In this difficult time, it’s hard to connect with the natural world. So this # EarthDay, we’re appreciating nature from afar by highlighting a few of the amazing ways it works to help our # climate. # EarthDay2020pic.twitter.com/OcxaSLKnYx",,,# # #,1252901637263429632,https://twitter.com/climateWWF/status/1252901637263429632
2,WWF Climate & Energy,climateWWF,2020-04-01 23:47,43,69,"The decision to postpone # COP26, is unavoidable. Our collective priority must be to put health and lives first. But climate action must remain a non-negotiable global priority, says @ manupulgarvidal http://ow.ly/MMpd50z2CY2 @ wwf_media @ WWF @ VPerezCirera",,@ @ @ @,#,1245452804170399745,https://twitter.com/climateWWF/status/1245452804170399745
3,WWF Climate & Energy,climateWWF,2020-03-30 19:29,24,30,"Japan - the world’s fifth largest emitter of greenhouse gases - had an opportunity to step up # ClimateAction. Instead, it submitted an unchanged # climate plan ( # NDC) to the UN. It must rethink its submission, says @ WWF's @ manupulgarvidal:http://ow.ly/UoMH50yZYm3",,@ @,# # #,1244663149132988417,https://twitter.com/climateWWF/status/1244663149132988417
4,WWF Climate & Energy,climateWWF,2020-03-30 12:15,22,40,How can countries include # NatureBasedSolutions in their # Climate plans ( # NDCs)? Our new guidance offers 8 simple recommendations: https://wwf.panda.org/?361395/NDCs-nature-based-solutions …pic.twitter.com/T4I1mSuM73,,,# # #,1244553722086203393,https://twitter.com/climateWWF/status/1244553722086203393
5,WWF Climate & Energy,climateWWF,2020-02-24 17:59,17,25,More than 75% of the # infrastructure we’ll need by 2050 hasn't been built yet - and we can harness the power of # nature to make it more sustainable and # climate-resilient. A new report from @ World_Wildlife explains how:http://ow.ly/nkhg50yuoBx,,@,# # #,1231972037930999808,https://twitter.com/climateWWF/status/1231972037930999808
6,WWF Climate & Energy,climateWWF,2020-02-07 00:22,7,15,221 members of the Japan Climate Initiative are calling on the Japanese Government to act urgently to ramp up its # ClimateAmbition by enhancing its national climate plan # NDC @ WWFJapan @ WWF @ manupulgarvidalhttp://ow.ly/RIMo50yfNrj,,@ @ @,# #,1225545295876042752,https://twitter.com/climateWWF/status/1225545295876042752
7,WWF Climate & Energy,climateWWF,2020-02-04 22:47,16,29,We need to see increased nature-based solutions for climate in national climate plans # NDCs. Halting deforestation warrants much more attention by governments. # ClimateAction # COP26 @ manupulgarvidal @ VPerezCirera @ NatureDeal @ WWF @ WWFForestCarbonhttps://twitter.com/WWFLeadForests/status/1224702601935183875 …,,@ @ @ @ @,# # #,1224796518818942976,https://twitter.com/climateWWF/status/1224796518818942976
8,WWF Climate & Energy,climateWWF,2020-02-04 13:14,5,16,"We need enhanced national climate plans (NDCs) from all countries, especially those, like Japan, with high emissions. It will take everyone, doing everything to tackle the # climatecrisis we face. @ wwf_media @ manupulgarvidal @ VPerezCirera @ WWFJapan # ClimateAmbition # ClimateActionhttps://twitter.com/ACAclimate/status/1224478925742583809 …",,@ @ @ @,# # #,1224652439464357888,https://twitter.com/climateWWF/status/1224652439464357888
9,WWF Climate & Energy,climateWWF,2020-01-23 20:28,13,46,Congratulations on your appointment as High Level Climate Action Champion @ topNigel! @ climateWWF looks forward to working with you and @ gmunozabogabir for # ClimateAmbition # ClimateAction and a successful @ COP26 @ Cop26President @ UNFCCC @ PEspinosaC @ manupulgarvidal @ VPerezCirerahttps://twitter.com/COP26/status/1220389940623822848 …,,@ @ @ @ @ @ @ @ @,# #,1220413020079259648,https://twitter.com/climateWWF/status/1220413020079259648
10,WWF Climate & Energy,climateWWF,2020-01-15 12:09,15,17,". # ClimateCrisis is at the top of the risks facing the world in 2020, according to @ WEF report. Notably, 'climate action failure' # COP25 # NDCs # ClimateAmbition @ manupulgarvidal @ VPerezCirerahttps://twitter.com/wef/status/1217382713457553409 …",,@ @ @,# # # #,1217388319773986816,https://twitter.com/climateWWF/status/1217388319773986816
11,WWF Climate & Energy,climateWWF,2019-12-11 11:58,264,2365,They say it's # TimeForAction but @ UN # Climate talks have made little progress at # COP25 We're in the midst of a # ClimateEmergency yet we don't see urgent action for # nature & people. RT & remind leaders you want # ClimateAction now! # TimeForAction We NEED # 1o5ToThrive.pic.twitter.com/Gb7At6AvlB,,@,# # # # # # # #,1204702093690454016,https://twitter.com/climateWWF/status/1204702093690454016
12,WWF Climate & Energy,climateWWF,2019-12-11 11:52,5,18,"At # COP25, corporate climate movement grows exponentially as new companies announce plans to set 1.5°C-aligned @ sciencetargets. The movement for # OurOnlyFuture now includes 177 companies from 36 countries. More: http://ow.ly/R3fF50xx9HC pic.twitter.com/r22BUreuDx",,@,# #,1204700504862941185,https://twitter.com/climateWWF/status/1204700504862941185
13,WWF Climate & Energy,climateWWF,2019-12-11 08:10,56,133,"# Nature is a critical ally in the fight against the # ClimateCrisis. It’s time to put it at the centre of our efforts, say Manuel-Pulgar Vidal, Climate & Energy Practice Leader, WWF, & Rebecca Shaw, Chief Scientist & Senior VP, WWF-US https://medium.com/@WWF/climate-nature-and-our-1-5c-future-25c9adb99c07?source=friends_link&sk=97ac863e47ad12a3061bc62dee00316f …",,@WWF,# #,1204644531565662208,https://twitter.com/climateWWF/status/1204644531565662208
14,WWF Climate & Energy,climateWWF,2019-12-11 01:01,10,17,"A new report, ' # Climate, # Nature & our 1.5°C Future' clearly points towards nature being part of the solution to the # ClimateCrisis. http://wwf.panda.org/?356971/Saving-nature-vital-to-beating-climate-crisis-urges-WWF … # TimeForAction at # COP25",,,# # # # #,1204536520134348800,https://twitter.com/climateWWF/status/1204536520134348800
15,WWF Climate & Energy,climateWWF,2019-12-10 10:19,60,137,". @ WWFLeadForests Tackling the # ClimateCrisis is essential if we’re to reverse the catastrophic decline in # nature — & reversing the decline in nature is essential if we’re to tackle the climate crisis."" # Forests need to be at theof # ClimateAction # cop25https://medium.com/@WWF/putting-forests-at-the-heart-of-climate-action-992888ab6675?source=friends_link&sk=8123168de986c8d42eb5c7f61d18f9bd …""",,@ @WWF,# # # # #,1204314658171174912,https://twitter.com/climateWWF/status/1204314658171174912
16,WWF Climate & Energy,climateWWF,2019-12-06 12:38,9,27,. @ GretaThunberg arrives at # COP25Madrid! It’s # TimeForAction to address the # ClimateCrisis join in and let's rally for the climate together # cop25 # FridaysForFuturepic.twitter.com/aX70mNqrpT,,@,# # # # #,1202900181609537536,https://twitter.com/climateWWF/status/1202900181609537536
17,WWF Climate & Energy,climateWWF,2019-12-06 11:50,10,23,Show your solidarity for greater # ClimateAction! This is our moment to create a sustainable future for nature & people! We need ambitious action to tackle the climate crisis. # climateWWF # ClimateAmbitionpic.twitter.com/AgR90bF6xO,,,# # #,1202888128228450304,https://twitter.com/climateWWF/status/1202888128228450304
18,WWF Climate & Energy,climateWWF,2019-12-05 14:24,9,14,It is crucial for countries to take greater # ClimateAction and limit warming to 1.5˚C if we are to avoid a climate catastrophe. Ask world leaders to make the right decisions today. # TimeForAction to tackle the # ClimateCrisis. # cop25 https://explore.panda.org/voice-climate # climatewwfpic.twitter.com/mnXxBQp3x7,,,# # # # #,1202564388424683520,https://twitter.com/climateWWF/status/1202564388424683520
19,WWF Climate & Energy,climateWWF,2020-04-27 21:15,4,14,# Solar panels produce clean power and are cheaper than ever. # EnergyEfficiency could save money and # emissions. So why aren’t more governments harnessing these powerful # climate solutions? http://ow.ly/gp1a50zpCuH,,,# # # #,1254836477546151939,https://twitter.com/climateWWF/status/1254836477546151939
20,WWF Climate & Energy,climateWWF,2020-04-25 02:05,3,9,. @ Fridays4future’s 24 hour livestream is entering its final hour! Join @ wwf_uk youth ambassador Hattie Phillips and @ gredmond76 for a # Climate Q&A >>> https://youtu.be/MXhR5EvR2W8 # ClimateAction # ClimateStrikeOnline # DigitalStrikepic.twitter.com/Wd1kXpGxnY,,@ @ @,# # # #,1253822291919679495,https://twitter.com/climateWWF/status/1253822291919679495
21,WWF Climate & Energy,climateWWF,2020-04-16 12:08,3,4,Wildlife Collapse From Climate Change Is Predicted to Hit Suddenly and Sooner https://www.nytimes.com/2020/04/15/climate/wildlife-population-collapse-climate-change.html?smid=tw-share …,,,,1250712556601212931,https://twitter.com/climateWWF/status/1250712556601212931
22,WWF Climate & Energy,climateWWF,2020-04-01 21:44,1,4,UK likely to postpone Cop26 climate talks in Glasgow until 2021 https://www.theguardian.com/environment/2020/apr/01/uk-likely-to-postpone-cop26-un-climate-talks-glasgow-coronavirus?CMP=share_btn_tw …,,,,1245421685890789376,https://twitter.com/climateWWF/status/1245421685890789376
23,WWF Climate & Energy,climateWWF,2019-12-13 12:15,0,4,It's almost time! 'Singapore Youth for Climate Action: Transforming Climate Science to Climate Action' is starting in 15 minutes at the # COP25 # Pandahub. Watch the livestream here: http://www.facebook.com/wwfclimateenergy …pic.twitter.com/yIEbj3k2eh,,,# #,1205430932146196481,https://twitter.com/climateWWF/status/1205430932146196481
24,WWF Climate & Energy,climateWWF,2019-12-12 20:15,0,7,"The last event at the # COP25 # Pandahub today is Celebrating nature-based climate solutions."" Join us in person or via live stream in 15 minutes: http://www.facebook.com/wwfclimateenergy …pic.twitter.com/uRDyZp2U86""",,,# #,1205189354030809093,https://twitter.com/climateWWF/status/1205189354030809093
25,WWF Climate & Energy,climateWWF,2019-12-12 17:15,1,2,Join us at the # COP25 # Pandahub in 15 minutes for: 'Amazonia Viva: Indigenous Peoples and Climate Change'. Not in Madrid? Watch the live stream: http://www.facebook.com/wwfclimateenergy …pic.twitter.com/dneJjAuoUi,,,# #,1205144063747461120,https://twitter.com/climateWWF/status/1205144063747461120
26,WWF Climate & Energy,climateWWF,2019-12-12 15:45,1,9,Coming up next at the # COP25 # Pandahub: 'From mobilisation to policy action: Youth climate leaders of the world discuss climate mobilisation & the way forward'. Join us via live stream in 15 minutes: http://www.facebook.com/wwfclimateenergy …pic.twitter.com/V3iBFIOR8i,,,# #,1205121418624741376,https://twitter.com/climateWWF/status/1205121418624741376
27,WWF Climate & Energy,climateWWF,2019-12-11 12:15,0,1,"It's almost time! Driving Global Ambition: How do we shake up climate leadership as we know it“ is starting in 15 minutes at the # COP25 # Pandahub - watch the livestream here: https://facebook.com/wwfclimateenergy ….pic.twitter.com/G3km66SJ6F""",,,# #,1204706162563854336,https://twitter.com/climateWWF/status/1204706162563854336
28,WWF Climate & Energy,climateWWF,2019-12-10 22:51,3,9,Yet another reason why it's # TimeForAction at # COP25. Climate change: Greenland ice melt 'is accelerating' https://www.bbc.co.uk/news/science-environment-48387030 …,,,# #,1204503901057228801,https://twitter.com/climateWWF/status/1204503901057228801
29,WWF Climate & Energy,climateWWF,2019-12-10 17:04,2,1,"“The tightly woven links between # climate & biodiversity must be recognised at # COP25” said Gareth Redmond-King, the head of # ClimateChange at WWF-UK. https://www.theguardian.com/environment/2019/dec/10/previously-extinct-guam-rail-saved-in-rare-conservation-success-aoe … # climatecrisis",,,# # # #,1204416715385262086,https://twitter.com/climateWWF/status/1204416715385262086
30,WWF Climate & Energy,climateWWF,2019-12-09 18:41,8,11,"People outside climate # cop25 are taking the # ClimateCrisis seriously & taking # ClimateAction, but ambitious action is lacking in negotiation rooms @ COP25CL # StrangerThings RT if you agree it's # TimeForAction! pic.twitter.com/hVlezlxstR",,@,# # # # #,1204078544273498112,https://twitter.com/climateWWF/status/1204078544273498112
31,WWF Climate & Energy,climateWWF,2019-12-09 16:30,1,2,"In Dec 2015, 196 countries agreed to the landmark # ParisAgreement on # ClimateChange, pledging to fight the climate crisis. Its goal is to keep this century’s temperature increase well below 2°C, & further, to limit the increase to 1.5°C.",,,# #,1204045565186781185,https://twitter.com/climateWWF/status/1204045565186781185
32,WWF Climate & Energy,climateWWF,2019-12-09 11:03,3,4,"“Now we can all see the face of # ClimateChange, and it is us.” - Mariana Panuncio-Feldman, Senior Director, International Climate Co-operation. # TimeForAction at # COP25https://www.worldwildlife.org/magazine/issues/winter-2019/articles/wwf-s-mariana-panuncio-feldman-on-tackling-climate-change-together …",,,# # #,1203963419122184193,https://twitter.com/climateWWF/status/1203963419122184193
33,WWF Climate & Energy,climateWWF,2019-12-09 10:48,1,10,"It's now or never! As we enter the final week of # cop25, leaders at this crucial climate summit must take ambitious # ClimateAction if we are to protect our only home.https://twitter.com/UNICEF/status/1203905864324636672 …",,,# #,1203959472143634433,https://twitter.com/climateWWF/status/1203959472143634433
34,WWF Climate & Energy,climateWWF,2019-12-05 15:45,1,2,Join us at the # Pandahub! „Agroecology Approaches for Climate Resilient Food Systems“ is starting in 15 minutes. Watch the livestream here: https://facebook.com/wwfclimateenergy …pic.twitter.com/kJuvXFktbF,,,#,1202584686003998721,https://twitter.com/climateWWF/status/1202584686003998721
35,WWF Climate & Energy,climateWWF,2019-12-05 15:29,4,3,Concentrations of # GreenhouseGas # emissions in the atmosphere are the highest on record It is critical to limit temperature rise to 1.5˚C & keep our planet # climate-friendly. We must not waste any time to raise # ClimateAmbition. # TimeForAction at # Cop25 # climateWWFpic.twitter.com/BPe3HYXQl4,,,# # # # # # #,1202580807015116800,https://twitter.com/climateWWF/status/1202580807015116800
36,WWF Climate & Energy,climateWWF,2019-12-05 13:55,1,4,Global # fossilfuel # emissions are up in 2019. Leaders must raise their # ClimateAmbition at # cop25 if we are to avoid a climate catastrophe https://www.carbonbrief.org/analysis-global-fossil-fuel-emissions-up-zero-point-six-per-cent-in-2019-due-to-china …,,,# # # #,1202557224486408192,https://twitter.com/climateWWF/status/1202557224486408192
37,WWF Climate & Energy,climateWWF,2019-12-04 18:56,115,254,"What if famous artists painted the world as we know it today? We've joined forces with the Prado Museum to raise the alarm about the # ClimateCrisis, as political leaders & diplomats meet at the # COP25 climate summit. Take a look. https://updates.panda.org/wwf-and-the-prado-museum-join-forces … # ClimateWWF",,,# # #,1202270478154555398,https://twitter.com/climateWWF/status/1202270478154555398
38,WWF Climate & Energy,climateWWF,2019-12-04 09:54,18,33,Do you want to see ambitious action now? A crucial climate summit is now taking place where world leaders have an opportunity to solve our # ClimateEmergency. The clock is tickingHelp us urge world leaders to make the right decisions today https://explore.panda.org/voice-climate # cop25,,,# #,1202134183877005312,https://twitter.com/climateWWF/status/1202134183877005312
39,WWF Climate & Energy,climateWWF,2019-12-04 09:54,257,450,"We are facing a # ClimateCrisis. The good news is we now know what must be done to solve it - we just need the global willpower Right now, world leaders have an opportunity to act to stabilise our climate and protect nature # ShareOurPlanet # ClimateWWFpic.twitter.com/AUaqruQBli",,,# # #,1202134180844441600,https://twitter.com/climateWWF/status/1202134180844441600
40,WWF Climate & Energy,climateWWF,2019-12-02 15:19,43,65,The most important global summit for the # ClimateCrisis is taking place in Madrid. Leaders need to raise their # ClimateAmbition if we are to protect biodiversity & halt climate change. Here’s why restoring nature is vital to tackle the # ClimateEmergency. # ShareOurPlanet # COP25pic.twitter.com/x81earvmiZ,,,# # # # #,1201491000998408192,https://twitter.com/climateWWF/status/1201491000998408192
41,WWF Climate & Energy,climateWWF,2019-12-01 11:37,30,56,"1 day left until @ COP25CL, where world leaders will be gathering to make critical decisions to address the # ClimateEmergencyCountries across the world must accelerate their # ClimateAmbition if we are to protect people & nature from the climate crisis. pic.twitter.com/Kc5X76WDFZ",,@,# #,1201072773378068480,https://twitter.com/climateWWF/status/1201072773378068480
42,WWF Climate & Energy,climateWWF,2019-11-26 08:15,16,12,In case we needed more reasons to step up our climate action! Governments must announce ambitious # NDCs at # COP25. Visit the Ambition Emergency Room at # COP25 Hall 6. # ClimateAction # ClimateAmbition # ClimateCrisis. @ manupulgarvidal @ VPerezCirera @ WWFhttps://twitter.com/UNEP/status/1199206200983916546 …,,@ @ @,# # # # # #,1199210002235441153,https://twitter.com/climateWWF/status/1199210002235441153
43,WWF Climate & Energy,climateWWF,2019-11-19 22:48,13,11,See @ climateWWF at # COP25 in Madrid. Visit us in Hall 6 at The Ambition Emergency Room - the place where we will discuss climate solutions for the future we want. # ClimateAmbition # ClimateAction # ClimateCrisis @ manupulgarvidal @ VPerezCirera @ wwf_media @ WWF @ WWFChile @ WWFSpainhttps://twitter.com/UNFCCC/status/1196786797981949952 …,,@ @ @ @ @ @ @,# # # #,1196892915982749698,https://twitter.com/climateWWF/status/1196892915982749698
44,WWF Climate & Energy,climateWWF,2019-11-14 23:46,34,42,. @ EIB will cut funding for all fossil fuel projects by 2021. This is the kind of ambition we need to see - concrete steps to scale up climate action says @ WWF's @ manupulgarvidal @ wwf_media @ wwfepo http://ow.ly/HbGb50xblNq pic.twitter.com/GkMLj4WpnE,,@ @ @ @ @,,1195095694513786881,https://twitter.com/climateWWF/status/1195095694513786881
45,WWF Climate & Energy,climateWWF,2019-11-04 23:29,93,144,US serves notice to withdraw from # ParisAgreement. @ WWF's @ manupulgarvidal :Their abdication of responsibility on the climate crisis does not preclude the rest of the world from doing its part. # ClimateCrisis @ PEspinosaC @ UNFCCC http://wwf.panda.org/our_work/climate_and_energy/news/?355391/WWF-responds-to-US-serviving-formal-notice-to-withdraw-from-Paris-Agreement …pic.twitter.com/o6WFbceu6I,,@ @ @ @,# #,1191467591405060096,https://twitter.com/climateWWF/status/1191467591405060096
46,WWF Climate & Energy,climateWWF,2019-10-07 19:15,12,24,"Even with the # ParisAgreement target limit of 1.5°C, # climate impacts will be felt across the globe. We need to adapt to a warmer world starting NOW! # AdaptOurWorld # ClimateCrisispic.twitter.com/avdrIui9xR",,,# # # #,1181241561679564800,https://twitter.com/climateWWF/status/1181241561679564800
47,WWF Climate & Energy,climateWWF,2019-09-23 16:42,5,19,Climate Summit 2019 - getting ready to start and hoping for ambitious announcements! @ manupulgarvidal @ WWFLeadFinance @ WWF @ VPerezCirera @ UN @ ladealbapic.twitter.com/ApSejvvm56,,@ @ @ @ @ @,,1176129754396803084,https://twitter.com/climateWWF/status/1176129754396803084
48,WWF Climate & Energy,climateWWF,2019-09-17 13:10,15,18,The # ClimateCrisis is upon us. Will you use your voice and fight for action on climate change? # FridaysForFuturepic.twitter.com/wM5diLV0aT,,,# #,1173901956215136261,https://twitter.com/climateWWF/status/1173901956215136261
49,WWF Climate & Energy,climateWWF,2019-08-26 21:21,15,16,". @ WWFs @ manupulgarvidal: G7 leaders did not send a clear signal on the need for greater climate ambition ahead of the # ClimateSummit next month. But it is not too late for them to take collective + individual action before 2020, and we urge them to do so. @ VPerezCirerahttps://twitter.com/wwf_media/status/1166049607345934336 …",,@ @ @,#,1166053177986289664,https://twitter.com/climateWWF/status/1166053177986289664
50,WWF Climate & Energy,climateWWF,2019-08-21 18:25,19,33,We are facing a # ClimateEmergency We need more ambitious # ClimateAction to avoid the worst impacts of climate change on people & nature. http://ow.ly/KjWS50vBJVC # ClimateWeekLAC # NDCAmbition # ClimateCrisis,,,# # # # #,1164196733682900993,https://twitter.com/climateWWF/status/1164196733682900993
51,WWF Climate & Energy,climateWWF,2019-08-05 14:46,245,598,"We already know the types of land-based actions which can help tackle the # ClimateCrisis + build climate resilience, restore nature and improve food security. Let's make them happen! # SRCCL # ClimateAction @ manupulgarvidal @ WWF @ WWFLeadFood @ WWFLeadForests @ wwf_mediapic.twitter.com/GVmDpoFBaQ",,@ @ @ @ @,# # #,1158343508509507584,https://twitter.com/climateWWF/status/1158343508509507584
52,WWF Climate & Energy,climateWWF,2019-08-05 09:15,25,38,"Did you know that that # forests, food & land have the potential to deliver up to 30% of # climate solutions? The way we treat our land matters. # IPCC # SRCCLpic.twitter.com/TGOradht7P",,,# # # #,1158260188983332865,https://twitter.com/climateWWF/status/1158260188983332865
53,WWF Climate & Energy,climateWWF,2019-08-01 13:45,76,207,"From forests that support livelihoods & more, to the land & food systems that feed the world, the # ClimateCrisis is impacting # nature, which we all depend on. Find out what we must do to protect people & nature in a changing climate. # IPCC # SRCCL http://wwf.panda.org/our_work/climate_and_energy/?350890/Nature-Food-and-Climate-Change-How-sustainable-land-management-can-meet-multiple-societal-goals …pic.twitter.com/wOPAoNuEOJ",,,# # # #,1156878494275690496,https://twitter.com/climateWWF/status/1156878494275690496
54,WWF Climate & Energy,climateWWF,2019-07-23 10:50,20,31,27 companies with combined market cap of $1.2 trillion step up to new level of climate ambition http://ow.ly/d21w50v8KSD @ manupulgarvidal # ClimateSummit2019 # sciencebasedtargets # OurOnlyFuturepic.twitter.com/kjfHTP4GQz,,@,# # #,1153573200149786625,https://twitter.com/climateWWF/status/1153573200149786625
55,WWF Climate & Energy,climateWWF,2019-07-23 10:12,10,22,"28 global companies have raised their ambitions to set # ScienceBasedTargets in efforts to save # OurOnlyFuture, proving that 1.5°C-compliant climate targets are possible. Join these corporate climate leaders http://ow.ly/3Pq850v8Jbc @ manupulgarvidal # ClimateSummit2019pic.twitter.com/o2t5JWeoOl",,@,# # #,1153563527636037632,https://twitter.com/climateWWF/status/1153563527636037632
56,WWF Climate & Energy,climateWWF,2019-06-05 14:29,17,57,"We are just beginning to tackle the air pollution crisis, and it's crucial that we do it alongside the climate crisis. Cities have a key role to play, says @ WWF's @ manupulgarvidal http://ow.ly/iLno50ux3rE pic.twitter.com/idEpGYT73r",,@ @,,1136233657331585024,https://twitter.com/climateWWF/status/1136233657331585024
57,WWF Climate & Energy,climateWWF,2019-05-24 18:38,10,13,. @ WWF's @ manupulgarvidal: A day in the life of the world is a big deal.That's why we will join the school strikers global protest for climate action on 20 September. http://ow.ly/pXND50uoTcr # ClimateStrike # FridaysForFuture # UNClimateSummit,,@ @,# # #,1131947675002261511,https://twitter.com/climateWWF/status/1131947675002261511
58,WWF Climate & Energy,climateWWF,2019-05-16 13:31,6,14,. @ IMOHQ can take meaningful climate action this week at @mepc_74 by agreeing compulsory speed limits at sea. This will significantly reduce GHG emissions from the global # shipping sector. Now is the time for # ClimateAction #1.5C https://on.ft.com/2VERX1o @ MarkLutes @ WWFpic.twitter.com/pBnRt1JrXZ,,@ @mepc_74 @ @,# # #1,1128971189043499008,https://twitter.com/climateWWF/status/1128971189043499008
