date,time,username,name,tweet,replies_count,retweets_count,likes_count,keyword,Label
2020-05-10,10:55:01,jrockstrom,Johan Rockström,"Podcast with world famous Snowboarder Xavier De La Rue on Climate and Corona crises in The Sustainability Dialogues: The big picture, extreme weather patterns & how to beat the carbon crisis."" at   https://www.xavierdelerue.com/tsd ",3,11,19,climate,0
2020-04-28,15:42:58,jrockstrom,Johan Rockström,Angela Merkel in midst of corona crisis ”we turn our back to fossil fuels”. Pandemic biodiversity climate connected  http://www.bmu.de/press/live-broadcast/ …,3,39,144,climate,0
2020-04-24,09:16:30,jrockstrom,Johan Rockström,"Doomsday Clock still at 100 Seconds to Midnight - Will SARS-CoV-2 & Climate Chaos move it_ Reflections on Crisis, Planetary Boundaries and our future  https://www.dailykos.com/story/2020/4/23/1939814/-Doomsday-Clock-still-at-100-Seconds-to-Midnight-Will-SARS-CoV-2-Climate-Chaos-move-it …",2,29,57,climate,0
2020-03-12,15:03:49,jrockstrom,Johan Rockström,"We are shutting down entire countries, democratically, within our conventional economies, to diffuse Big risk. Why can't we do a fraction of this mobilisation on a much Bigger Risk - the climate crisis?",108,1344,3930,climate,0
2020-01-16,09:45:41,jrockstrom,Johan Rockström,The climate-conflict scenarios we must avoid at all cost. How Rising Temperatures Increase Likelihood of Nuclear War  https://www.thenation.com/article/nuclear-defense-climate-change/ …,5,72,123,climate,0
2020-01-04,16:46:37,jrockstrom,Johan Rockström,Welcome to Ground Zero of the global climate crisis. Australia Is Committing Climate Suicide  https://nyti.ms/2QiiBZu ,29,428,799,climate,0
2020-01-03,13:21:55,jrockstrom,Johan Rockström,"Australia, your country is burning – dangerous climate change is here with you now | Michael Mann  https://www.theguardian.com/commentisfree/2020/jan/02/australia-your-country-is-burning-dangerous-climate-change-is-here-with-you-now …",6,54,123,climate,0
2019-12-31,18:34:32,jrockstrom,Johan Rockström,"This is not only a scandal, it is also a reminder that the next couple of years will not be a walk in the park for our future on Earth - Fourteen oil and gas companies including Shell, BP, and Chevron, are funding a website that attacks climate scientists.  https://www.huffingtonpost.com.au/entry/climate-denial-energy-in-depth_n_5df7eff6e4b0ae01a1e59371?ncid=other_twitter_cooo9wqtham&utm_campaign=share_twitter …",20,482,564,climate,0
2019-12-11,08:35:03,jrockstrom,Johan Rockström,Efforts of ramping up science-based action to solve our global climate crisis. Join Plenary High-level session at 09:00 (CET) today  https://unfccc-cop25.streamworld.de/webcast/high-level-event-on-climate-emergency …,2,9,34,climate,0
2019-12-10,20:48:30,jrockstrom,Johan Rockström,Verifying dangerous trajectory. BBC News - Climate change: Greenland ice melt 'is accelerating'  https://www.bbc.com/news/science-environment-48387030 …,5,136,161,climate,0
